Serial Number,Conrod Name,Conrod Variant,Conrod Size,Small End Diameter,Big End Diameter,Center Distance,Pin Name,Pin Size,Ball Bearing Name,Ball Bearing Variant,Ball Bearing Size,Amount
1,Hero Honda,Local,STD,13,30,92.5,Hero Honda,STD,Hero Honda,Local,STD,10
2,Hero Honda,Local,1,13,30,92.5,Hero Honda,1,Hero Honda,Local,1,10
3,Hero Honda,Local,2,13,30,92.5,Hero Honda,2,Hero Honda,Local,2,10
4,Hero Honda,Local,3,13,30,92.5,Hero Honda,3,Hero Honda,Local,3,10
5,Hero Honda,Local,4,13,30,92.5,Hero Honda,4,Hero Honda,Local,4,10
6,Hero Honda,Local,5,13,30,92.5,Hero Honda,5,Hero Honda,Local,5,10
7,Hero Honda,Local,6,13,30,92.5,Hero Honda,6,Hero Honda,Local,6,10
8,Hero Honda,Local,7,13,30,92.5,Hero Honda,7,Hero Honda,Local,7,10
9,Hero Honda,STD,STD,13,30,92.5,Hero Honda,STD,Hero Honda,STD,STD,10
10,Hero Honda,STD,1,13,30,92.5,Hero Honda,1,Hero Honda,STD,1,10
11,Hero Honda,STD,2,13,30,92.5,Hero Honda,2,Hero Honda,STD,2,10
12,Hero Honda,STD,3,13,30,92.5,Hero Honda,3,Hero Honda,STD,3,10
13,Hero Honda,STD,4,13,30,92.5,Hero Honda,4,Hero Honda,STD,4,10
14,Hero Honda,STD,5,13,30,92.5,Hero Honda,5,Hero Honda,STD,5,10
15,Hero Honda,STD,6,13,30,92.5,Hero Honda,6,Hero Honda,STD,6,10
16,Hero Honda,STD,7,13,30,92.5,Hero Honda,7,Hero Honda,STD,7,10
17,Activa old,Local,STD,13,30,92.5,Activa,STD,Hero Honda,Local,STD,10
18,Activa old,Local,1,13,30,92.5,Activa,1,Hero Honda,Local,1,10
19,Activa old,Local,2,13,30,92.5,Activa,2,Hero Honda,Local,2,10
20,Activa old,Local,3,13,30,92.5,Activa,3,Hero Honda,Local,3,10
21,Activa old,Local,4,13,30,92.5,Activa,4,Hero Honda,Local,4,10
22,Activa old,Local,5,13,30,92.5,Activa,5,Hero Honda,Local,5,10
23,Activa old,Local,6,13,30,92.5,Activa,6,Hero Honda,Local,6,10
24,Activa old,Local,7,13,30,92.5,Activa,7,Hero Honda,Local,7,10
25,Activa old,STD,STD,13,30,92.5,Activa,STD,Hero Honda,STD,STD,10
26,Activa old,STD,1,13,30,92.5,Activa,1,Hero Honda,STD,1,10
27,Activa old,STD,2,13,30,92.5,Activa,2,Hero Honda,STD,2,10
28,Activa old,STD,3,13,30,92.5,Activa,3,Hero Honda,STD,3,10
29,Activa old,STD,4,13,30,92.5,Activa,4,Hero Honda,STD,4,10
30,Activa old,STD,5,13,30,92.5,Activa,5,Hero Honda,STD,5,10
31,Activa old,STD,6,13,30,92.5,Activa,6,Hero Honda,STD,6,10
32,Activa old,STD,7,13,30,92.5,Activa,7,Hero Honda,STD,7,10
33,Activa 110,Local,STD,13,30,92.5,Activa,STD,Hero Honda,Local,STD,10
34,Activa 110,Local,1,13,30,92.5,Activa,1,Hero Honda,Local,1,10
35,Activa 110,Local,2,13,30,92.5,Activa,2,Hero Honda,Local,2,10
36,Activa 110,Local,3,13,30,92.5,Activa,3,Hero Honda,Local,3,10
37,Activa 110,Local,4,13,30,92.5,Activa,4,Hero Honda,Local,4,10
38,Activa 110,Local,5,13,30,92.5,Activa,5,Hero Honda,Local,5,10
39,Activa 110,Local,6,13,30,92.5,Activa,6,Hero Honda,Local,6,10
40,Activa 110,Local,7,13,30,92.5,Activa,7,Hero Honda,Local,7,10
41,Activa 110,STD,STD,13,30,92.5,Activa,STD,Hero Honda,STD,STD,10
42,Activa 110,STD,1,13,30,92.5,Activa,1,Hero Honda,STD,1,10
43,Activa 110,STD,2,13,30,92.5,Activa,2,Hero Honda,STD,2,10
44,Activa 110,STD,3,13,30,92.5,Activa,3,Hero Honda,STD,3,10
45,Activa 110,STD,4,13,30,92.5,Activa,4,Hero Honda,STD,4,10
46,Activa 110,STD,5,13,30,92.5,Activa,5,Hero Honda,STD,5,10
47,Activa 110,STD,6,13,30,92.5,Activa,6,Hero Honda,STD,6,10
48,Activa 110,STD,7,13,30,92.5,Activa,7,Hero Honda,STD,7,10
49,Maestro-Edge,Local,STD,13,30,92.5,Activa,STD,Hero Honda,Local,STD,10
50,Maestro-Edge,Local,1,13,30,92.5,Activa,1,Hero Honda,Local,1,10
51,Maestro-Edge,Local,2,13,30,92.5,Activa,2,Hero Honda,Local,2,10
52,Maestro-Edge,Local,3,13,30,92.5,Activa,3,Hero Honda,Local,3,10
53,Maestro-Edge,Local,4,13,30,92.5,Activa,4,Hero Honda,Local,4,10
54,Maestro-Edge,Local,5,13,30,92.5,Activa,5,Hero Honda,Local,5,10
55,Maestro-Edge,Local,6,13,30,92.5,Activa,6,Hero Honda,Local,6,10
56,Maestro-Edge,Local,7,13,30,92.5,Activa,7,Hero Honda,Local,7,10
57,Maestro-Edge,STD,STD,13,30,92.5,Activa,STD,Hero Honda,STD,STD,10
58,Maestro-Edge,STD,1,13,30,92.5,Activa,1,Hero Honda,STD,1,10
59,Maestro-Edge,STD,2,13,30,92.5,Activa,2,Hero Honda,STD,2,10
60,Maestro-Edge,STD,3,13,30,92.5,Activa,3,Hero Honda,STD,3,10
61,Maestro-Edge,STD,4,13,30,92.5,Activa,4,Hero Honda,STD,4,10
62,Maestro-Edge,STD,5,13,30,92.5,Activa,5,Hero Honda,STD,5,10
