Serial Number,Conrod Name,Conrod Variant,Conrod Size,Small End Diameter,Big End Diameter,Center Distance,Pin Name,Pin Size,Ball Bearing Name,Ball Bearing Variant,Ball Bearing Size,Amount
1,Hero Honda,Local,STD,,,,Hero Honda,STD,Hero Honda,Local,STD,
2,Hero Honda,Local,1,,,,Hero Honda,1,Hero Honda,Local,1,
3,Hero Honda,Local,2,,,,Hero Honda,2,Hero Honda,Local,2,
4,Hero Honda,Local,3,,,,Hero Honda,3,Hero Honda,Local,3,
5,Hero Honda,Local,4,,,,Hero Honda,4,Hero Honda,Local,4,
6,Hero Honda,Local,5,,,,Hero Honda,5,Hero Honda,Local,5,
7,Hero Honda,Local,6,,,,Hero Honda,6,Hero Honda,Local,6,
8,Hero Honda,Local,7,,,,Hero Honda,7,Hero Honda,Local,7,
9,Hero Honda,NRB,STD,,,,Hero Honda,STD,Hero Honda,NRB,STD,
10,Hero Honda,NRB,1,,,,Hero Honda,1,Hero Honda,NRB,1,
11,Hero Honda,NRB,2,,,,Hero Honda,2,Hero Honda,NRB,2,
12,Hero Honda,NRB,3,,,,Hero Honda,3,Hero Honda,NRB,3,
13,Hero Honda,NRB,4,,,,Hero Honda,4,Hero Honda,NRB,4,
14,Hero Honda,NRB,5,,,,Hero Honda,5,Hero Honda,NRB,5,
15,Hero Honda,NRB,6,,,,Hero Honda,6,Hero Honda,NRB,6,
16,Hero Honda,NRB,7,,,,Hero Honda,7,Hero Honda,NRB,7,
17,Activa old,Local,STD,,,,Activa,STD,Hero Honda,Local,STD,
18,Activa old,Local,1,,,,Activa,1,Hero Honda,Local,1,
19,Activa old,Local,2,,,,Activa,2,Hero Honda,Local,2,
20,Activa old,Local,3,,,,Activa,3,Hero Honda,Local,3,
21,Activa old,Local,4,,,,Activa,4,Hero Honda,Local,4,
22,Activa old,Local,5,,,,Activa,5,Hero Honda,Local,5,
23,Activa old,Local,6,,,,Activa,6,Hero Honda,Local,6,
24,Activa old,Local,7,,,,Activa,7,Hero Honda,Local,7,
25,Activa old,NRB,STD,,,,Activa,STD,Hero Honda,NRB,STD,
26,Activa old,NRB,1,,,,Activa,1,Hero Honda,NRB,1,
27,Activa old,NRB,2,,,,Activa,2,Hero Honda,NRB,2,
28,Activa old,NRB,3,,,,Activa,3,Hero Honda,NRB,3,
29,Activa old,NRB,4,,,,Activa,4,Hero Honda,NRB,4,
30,Activa old,NRB,5,,,,Activa,5,Hero Honda,NRB,5,
31,Activa old,NRB,6,,,,Activa,6,Hero Honda,NRB,6,
32,Activa old,NRB,7,,,,Activa,7,Hero Honda,NRB,7,
33,Activa 110,Local,STD,,,,Activa,STD,Hero Honda,Local,STD,
34,Activa 110,Local,1,,,,Activa,1,Hero Honda,Local,1,
35,Activa 110,Local,2,,,,Activa,2,Hero Honda,Local,2,
36,Activa 110,Local,3,,,,Activa,3,Hero Honda,Local,3,
37,Activa 110,Local,4,,,,Activa,4,Hero Honda,Local,4,
38,Activa 110,Local,5,,,,Activa,5,Hero Honda,Local,5,
39,Activa 110,Local,6,,,,Activa,6,Hero Honda,Local,6,
40,Activa 110,Local,7,,,,Activa,7,Hero Honda,Local,7,
41,Activa 110,NRB,STD,,,,Activa,STD,Hero Honda,NRB,STD,
42,Activa 110,NRB,1,,,,Activa,1,Hero Honda,NRB,1,
43,Activa 110,NRB,2,,,,Activa,2,Hero Honda,NRB,2,
44,Activa 110,NRB,3,,,,Activa,3,Hero Honda,NRB,3,
45,Activa 110,NRB,4,,,,Activa,4,Hero Honda,NRB,4,
46,Activa 110,NRB,5,,,,Activa,5,Hero Honda,NRB,5,
47,Activa 110,NRB,6,,,,Activa,6,Hero Honda,NRB,6,
48,Activa 110,NRB,7,,,,Activa,7,Hero Honda,NRB,7,
49,Maestro-Edge,Local,STD,,,,Activa,STD,Hero Honda,Local,STD,
50,Maestro-Edge,Local,1,,,,Activa,1,Hero Honda,Local,1,
51,Maestro-Edge,Local,2,,,,Activa,2,Hero Honda,Local,2,
52,Maestro-Edge,Local,3,,,,Activa,3,Hero Honda,Local,3,
53,Maestro-Edge,Local,4,,,,Activa,4,Hero Honda,Local,4,
54,Maestro-Edge,Local,5,,,,Activa,5,Hero Honda,Local,5,
55,Maestro-Edge,Local,6,,,,Activa,6,Hero Honda,Local,6,
56,Maestro-Edge,Local,7,,,,Activa,7,Hero Honda,Local,7,
57,Maestro-Edge,NRB,STD,,,,Activa,STD,Hero Honda,NRB,STD,
58,Maestro-Edge,NRB,1,,,,Activa,1,Hero Honda,NRB,1,
59,Maestro-Edge,NRB,2,,,,Activa,2,Hero Honda,NRB,2,
60,Maestro-Edge,NRB,3,,,,Activa,3,Hero Honda,NRB,3,
61,Maestro-Edge,NRB,4,,,,Activa,4,Hero Honda,NRB,4,
62,Maestro-Edge,NRB,5,,,,Activa,5,Hero Honda,NRB,5,
63,Maestro-Edge,NRB,6,,,,Activa,6,Hero Honda,NRB,6,
64,Maestro-Edge,NRB,7,,,,Activa,7,Hero Honda,NRB,7,
65,Pep plus,Local,STD,,,,Pep Plus,STD,Hero Honda,Local,STD,
66,Pep plus,Local,1,,,,Pep Plus,1,Hero Honda,Local,1,
67,Pep plus,Local,2,,,,Pep Plus,2,Hero Honda,Local,2,
68,Pep plus,Local,3,,,,Pep Plus,3,Hero Honda,Local,3,
69,Pep plus,Local,4,,,,Pep Plus,4,Hero Honda,Local,4,
70,Pep plus,Local,5,,,,Pep Plus,5,Hero Honda,Local,5,
71,Pep plus,Local,6,,,,Pep Plus,6,Hero Honda,Local,6,
72,Pep plus,Local,7,,,,Pep Plus,7,Hero Honda,Local,7,
73,Pep plus,NRB,STD,,,,Pep Plus,STD,Hero Honda,NRB,STD,
74,Pep plus,NRB,1,,,,Pep Plus,1,Hero Honda,NRB,1,
75,Pep plus,NRB,2,,,,Pep Plus,2,Hero Honda,NRB,2,
76,Pep plus,NRB,3,,,,Pep Plus,3,Hero Honda,NRB,3,
77,Pep plus,NRB,4,,,,Pep Plus,4,Hero Honda,NRB,4,
78,Pep plus,NRB,5,,,,Pep Plus,5,Hero Honda,NRB,5,
79,Pep plus,NRB,6,,,,Pep Plus,6,Hero Honda,NRB,6,
80,Pep plus,NRB,7,,,,Pep Plus,7,Hero Honda,NRB,7,
81,Star City,Local,STD,,,,Star City,STD,Hero Honda,Local,STD,
82,Star City,Local,1,,,,Star City,1,Hero Honda,Local,1,
83,Star City,Local,2,,,,Star City,2,Hero Honda,Local,2,
84,Star City,Local,3,,,,Star City,3,Hero Honda,Local,3,
85,Star City,Local,4,,,,Star City,4,Hero Honda,Local,4,
86,Star City,Local,5,,,,Star City,5,Hero Honda,Local,5,
87,Star City,Local,6,,,,Star City,6,Hero Honda,Local,6,
88,Star City,Local,7,,,,Star City,7,Hero Honda,Local,7,
89,Star City,NRB,STD,,,,Star City,STD,Hero Honda,NRB,STD,
90,Star City,NRB,1,,,,Star City,1,Hero Honda,NRB,1,
91,Star City,NRB,2,,,,Star City,2,Hero Honda,NRB,2,
92,Star City,NRB,3,,,,Star City,3,Hero Honda,NRB,3,
93,Star City,NRB,4,,,,Star City,4,Hero Honda,NRB,4,
94,Star City,NRB,5,,,,Star City,5,Hero Honda,NRB,5,
95,Star City,NRB,6,,,,Star City,6,Hero Honda,NRB,6,
96,Star City,NRB,7,,,,Star City,7,Hero Honda,NRB,7,
97,Centra,Local,STD,,,,Centra,STD,Hero Honda,Local,STD,
98,Centra,Local,1,,,,Centra,1,Hero Honda,Local,1,
99,Centra,Local,2,,,,Centra,2,Hero Honda,Local,2,
100,Centra,Local,3,,,,Centra,3,Hero Honda,Local,3,
101,Centra,Local,4,,,,Centra,4,Hero Honda,Local,4,
102,Centra,Local,5,,,,Centra,5,Hero Honda,Local,5,
103,Centra,Local,6,,,,Centra,6,Hero Honda,Local,6,
104,Centra,Local,7,,,,Centra,7,Hero Honda,Local,7,
105,Centra,NRB,STD,,,,Centra,STD,Hero Honda,NRB,STD,
106,Centra,NRB,1,,,,Centra,1,Hero Honda,NRB,1,
107,Centra,NRB,2,,,,Centra,2,Hero Honda,NRB,2,
108,Centra,NRB,3,,,,Centra,3,Hero Honda,NRB,3,
109,Centra,NRB,4,,,,Centra,4,Hero Honda,NRB,4,
110,Centra,NRB,5,,,,Centra,5,Hero Honda,NRB,5,
111,Centra,NRB,6,,,,Centra,6,Hero Honda,NRB,6,
112,Centra,NRB,7,,,,Centra,7,Hero Honda,NRB,7,
113,Super Splendor,Local,STD,,,,Hero Honda,STD,Hero Honda,Local,STD,
114,Super Splendor,Local,1,,,,Hero Honda,1,Hero Honda,Local,1,
115,Super Splendor,Local,2,,,,Hero Honda,2,Hero Honda,Local,2,
116,Super Splendor,Local,3,,,,Hero Honda,3,Hero Honda,Local,3,
117,Super Splendor,Local,4,,,,Hero Honda,4,Hero Honda,Local,4,
118,Super Splendor,Local,5,,,,Hero Honda,5,Hero Honda,Local,5,
119,Super Splendor,Local,6,,,,Hero Honda,6,Hero Honda,Local,6,
120,Super Splendor,Local,7,,,,Hero Honda,7,Hero Honda,Local,7,
121,Super Splendor,NRB,STD,,,,Hero Honda,STD,Hero Honda,NRB,STD,
122,Super Splendor,NRB,1,,,,Hero Honda,1,Hero Honda,NRB,1,
123,Super Splendor,NRB,2,,,,Hero Honda,2,Hero Honda,NRB,2,
124,Super Splendor,NRB,3,,,,Hero Honda,3,Hero Honda,NRB,3,
